1,0,2,N,0
3,0,4,N,0
1,1,5,V,0
3,1,6,V,0
8,1,8,V,0
5,2,2,[,0
6,2,4,[,0
4,3,1,&&,0
6,3,1,&&,0
4,4,1,||,0
6,4,1,||,0
0,5,1,(,0
4,6,7,),0
6,6,7,),0
2,7,3,<,0
5,7,3,<,0
2,8,3,>,0
5,8,3,>,0
2,9,3,<=,0
5,9,3,<=,0
2,10,3,>=,0
5,10,3,>=,0
2,11,3,==,0
5,11,3,==,0
2,12,3,!=,0
5,12,3,!=,0
7,13,8,{,0
10,13,11,{,0
8,14,9,},0
11,14,-1,},1
8,15,8,IF,0
10,15,-1,IF,1
11,15,11,IF,0
8,16,8,INT,0
11,16,11,INT,0
8,17,8,STRING,0
11,17,11,STRING,0
8,18,8,CHAR,0
11,18,11,CHAR,0
8,19,8,<<,0
11,19,11,<<,0
8,20,8,>>,0
11,20,11,>>,0
8,21,8,FOR,0
11,21,11,FOR,0
8,22,8,WHILE,0
11,22,11,WHILE,0
8,23,8,SWITCH,0
11,23,11,SWITCH,0
9,24,10,ELSE,0
